"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","","","2021-01-30","","11950.2197265625","","","","","0.970091104507446","3.42199993133545","","79","","150","162","","","0.909919080082058","88.9","5","44","9","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-31","","5012.47998046875","","","","","0.319443583488464","4.35900020599365","","82","","175","182","","","1.13829232640848","44.56","0","0","0","18","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-01","","10810.91015625","","","","","0.937471091747284","3.20300006866455","","78","","142","160","","","0.849512565098555","74.83","26","29","1","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-03","","9261.099609375","","","","","0.769501686096191","3.34299993515015","","78","","149","162","","","0.876732588793025","65.11","2","42","2","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-04","","16330.91015625","","","","","1.35666644573212","3.34400010108948","","79","","149","165","","","0.872496468152104","115.28","11","65","5","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-06","","8737.8896484375","","","","","0.747405230998993","3.24699997901917","","78","","","","","","0.853277330416938","59.85","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-06","","8322.75","","","","","0.722629487514496","3.19899988174438","","79","","","","","","0.861049100898941","58.88","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-07","","11811.7900390625","","","","","0.940726935863495","3.48799991607666","","80","","150","162","","","0.92811093236159","89.64","5","46","6","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-12","","9251.2099609375","","","","","0.755344986915588","3.40199995040894","","79","","147","161","","","0.894721773336359","66.54","8","32","6","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-15","","11805.990234375","","","","","0.953847765922546","3.43799996376038","","80","","152","167","","","0.908430524973179","87.13","3","39","15","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-16","","11714.75","","","","","0.986851930618286","3.29699993133545","","79","","146","162","","","0.877978752415833","84.27","15","41","2","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2021-02-17","","26232.3153156488","","","","","1","7.28675425434688","","","","135","157","","","0.600901246674944","40","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-02-18","","33849.66015625","","","","","1.25358498096466","7.50099992752075","","","","139","168","","","0.667408476199332","62.2","41","23","11","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-21","","11756.0400390625","","","","","0.998337209224701","3.27099990844727","","79","","148","164","","","0.877115744123","85.08","11","45","4","0","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-02-22","","33954.46875","","","","","1.03962051868439","9.07199954986572","","","","152","173","","","0.733989033376025","62.11","6","36","19","1","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-23","","22542.609375","","","","","1.8109747171402","3.45799994468689","","81","","154","167","","","0.922018164187219","173.14","1","71","36","0","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-02-24","","76603.203125","","","","","2.87512803077698","7.40100002288818","","","","131","161","","","0.615700754172534","123.98","138","33","2","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-25","","5012.81982421875","","","","","0.33222970366478","4.19099998474121","","81","","169","174","","","1.0963514293124","43.07","0","0","4","15","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-02-26","","50279.48046875","","","","","1.65715360641479","8.42800045013428","","","","150","171","","","0.723882529043569","97.44","18","52","29","1","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-02-28","","77059.9921875","","","","","3.01412415504456","7.10200023651123","","","","126","168","","","0.608253545108447","126.99","161","14","6","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-28","","9501.9404296875","","","","","0.795474469661713","3.31800007820129","","80","","146","161","","","0.879636016077303","67.83","8","38","1","0","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-03-02","","34168.05859375","","","","","1.20810437202454","7.85599994659424","","","","139","163","","","0.660624672931762","58.68","38","28","7","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-03-02","","8164.490234375","","","","","0.657058298587799","3.45199990272522","","80","","151","160","","","0.913467542840689","60.12","1","36","3","0","0","","","","","","","","","","","","","","","","",""
